,0,1,2,3,4,5,6,7,8,9,10
Timestamp,1617957012.0191903,1617957015.4390848,1617957019.3568609,1617957022.7406576,1617957026.6197994,1617957030.3478415,1617957033.6140118,1617957037.0305173,1617957040.5457711,1617957043.7854292,1617957048.3862529
Bitcoin,57908.2639699353914588,57908.2639699353914588,57901.3060550417440641,57901.3060550417440641,57901.3060550417440641,57892.0717456949679630,57892.0717456949679630,57892.0717456949679630,57892.0717456949679630,57892.0717456949679630,
Ethereum,2073.4691439234148072,2073.4691439234148072,2073.3595070180792806,2073.3595070180792806,2072.8033849176970674,2072.8033849176970674,2072.8033849176970674,2072.8033849176970674,2072.8033849176970674,2072.8033849176970674,
Binance Coin,420.3014612939075601,420.3014612939075601,420.3177264822301569,420.3177264822301569,420.2492825421023500,420.2492825421023500,420.2492825421023500,420.2492825421023500,420.2492825421023500,420.2492825421023500,
XRP,1.0149640491352694,1.0148756381297997,1.0148756381297997,1.0148756381297997,1.0143533580599005,1.0143533580599005,1.0143533580599005,1.0143533580599005,1.0143533580599005,1.0144220188554386,
Tether,1.0004300311116049,1.0004709995558112,1.0004709995558112,1.0004709995558112,1.0004709995761787,1.0004709995761787,1.0004709995761787,1.0004709995761787,1.0004709995761787,1.0004634119347907,
